Location,Latitude,Longitude,Rise Time,Culmination,Set Time,Duration (min)
Ahmedabad,23.0225,72.5714,2025-07-21 00:53:24,2025-07-21 00:56:43,2025-07-21 01:00:01,6.6
Ahmedabad,23.0225,72.5714,2025-07-21 14:16:50,2025-07-21 14:19:05,2025-07-21 14:21:20,4.5
Ahmedabad,23.0225,72.5714,2025-07-21 15:52:59,2025-07-21 15:55:39,2025-07-21 15:58:19,5.3
Mumbai,19.076,72.8777,2025-07-21 00:54:15,2025-07-21 00:57:35,2025-07-21 01:00:54,6.7
Mumbai,19.076,72.8777,2025-07-21 14:15:27,2025-07-21 14:18:15,2025-07-21 14:21:04,5.6
Mumbai,19.076,72.8777,2025-07-21 15:53:09,2025-07-21 15:54:56,2025-07-21 15:56:44,3.6
Delhi,28.7041,77.1025,2025-07-20 23:16:48,2025-07-20 23:19:34,2025-07-20 23:22:21,5.6
Delhi,28.7041,77.1025,2025-07-21 00:53:41,2025-07-21 00:56:11,2025-07-21 00:58:41,5.0
Delhi,28.7041,77.1025,2025-07-21 14:18:42,2025-07-21 14:20:58,2025-07-21 14:23:14,4.5
Delhi,28.7041,77.1025,2025-07-21 15:54:37,2025-07-21 15:57:31,2025-07-21 16:00:26,5.8
Bangalore,12.9716,77.5946,2025-07-21 00:56:18,2025-07-21 00:59:37,2025-07-21 01:02:56,6.6
Bangalore,12.9716,77.5946,2025-07-21 14:14:20,2025-07-21 14:17:40,2025-07-21 14:20:59,6.7
Chennai,13.0827,80.2707,2025-07-21 00:56:42,2025-07-21 01:00:00,2025-07-21 01:03:19,6.6
Chennai,13.0827,80.2707,2025-07-21 14:14:51,2025-07-21 14:18:06,2025-07-21 14:21:22,6.5
Kolkata,22.5726,88.3639,2025-07-20 23:19:34,2025-07-20 23:22:42,2025-07-20 23:25:51,6.3
Kolkata,22.5726,88.3639,2025-07-21 14:18:08,2025-07-21 14:21:23,2025-07-21 14:24:39,6.5
Hyderabad,17.385,78.4867,2025-07-21 00:55:33,2025-07-21 00:58:49,2025-07-21 01:02:04,6.5
Hyderabad,17.385,78.4867,2025-07-21 14:15:26,2025-07-21 14:18:44,2025-07-21 14:22:03,6.6
Pune,18.5204,73.8567,2025-07-21 00:54:31,2025-07-21 00:57:51,2025-07-21 01:01:11,6.7
Pune,18.5204,73.8567,2025-07-21 14:15:18,2025-07-21 14:18:17,2025-07-21 14:21:16,6.0
Pune,18.5204,73.8567,2025-07-21 15:53:47,2025-07-21 15:55:01,2025-07-21 15:56:14,2.5
